rainfall_mm,soil_moisture_pct,slope_deg,elevation_m,temperature_c,river_level_m,vegetation_index,landslide_history,risk_level
12,25,5,120,29,1.2,0.82,0,LOW
18,30,8,150,28,1.4,0.78,0,LOW
25,35,12,180,27,1.6,0.75,0,LOW
32,42,15,210,26,1.8,0.7,0,LOW
40,48,18,240,25,2.0,0.68,0,MEDIUM
48,55,22,260,24,2.2,0.62,0,MEDIUM
55,60,25,280,23,2.5,0.58,1,MEDIUM
62,65,28,300,23,2.7,0.54,1,HIGH
70,72,32,320,22,3.0,0.48,1,HIGH
85,80,38,350,21,3.5,0.4,1,HIGH
20,28,7,140,30,1.3,0.8,0,LOW
35,40,14,200,27,1.7,0.72,0,LOW
45,52,20,250,25,2.1,0.64,0,MEDIUM
58,63,26,290,24,2.6,0.56,1,MEDIUM
75,75,35,340,22,3.2,0.44,1,HIGH
